cluster	gene
2	ENSG00000186115
2	ENSG00000186226
2	ENSG00000187170
2	ENSG00000187210
2	ENSG00000187223
2	ENSG00000188039
2	ENSG00000203747
2	ENSG00000203786
2	ENSG00000203867
2	ENSG00000211448
2	ENSG00000214216
2	ENSG00000214226
2	ENSG00000216490
2	ENSG00000235942
2	ENSG00000243955
2	ENSG00000249693
2	ENSG00000268221
2	ENSG00000278057
3	ENSG00000001626
3	ENSG00000006377
3	ENSG00000010932
3	ENSG00000011465
3	ENSG00000050344
3	ENSG00000055955
3	ENSG00000062282
3	ENSG00000064270
3	ENSG00000064787
3	ENSG00000064886
3	ENSG00000068831
3	ENSG00000069667
3	ENSG00000073598
3	ENSG00000078804
3	ENSG00000084628
3	ENSG00000088826
3	ENSG00000093134
3	ENSG00000094963
3	ENSG00000099954
3	ENSG00000101210
3	ENSG00000101265
3	ENSG00000101280
3	ENSG00000101306
3	ENSG00000101417
3	ENSG00000101470
3	ENSG00000103089
3	ENSG00000105088
3	ENSG00000105516
3	ENSG00000105613
3	ENSG00000106123
3	ENSG00000108379
3	ENSG00000108602
3	ENSG00000108924
3	ENSG00000108950
3	ENSG00000109047
3	ENSG00000109472
3	ENSG00000109906
3	ENSG00000110799
3	ENSG00000111432
3	ENSG00000112041
3	ENSG00000112294
3	ENSG00000113389
3	ENSG00000113600
3	ENSG00000114656
3	ENSG00000115488
3	ENSG00000115956
3	ENSG00000116761
3	ENSG00000117834
3	ENSG00000118308
3	ENSG00000118322
3	ENSG00000124635
3	ENSG00000125285
3	ENSG00000125895
3	ENSG00000126233
3	ENSG00000126262
3	ENSG00000130222
3	ENSG00000130427
3	ENSG00000130653
3	ENSG00000131831
3	ENSG00000133488
3	ENSG00000134240
3	ENSG00000134765
3	ENSG00000134830
3	ENSG00000134853
3	ENSG00000135100
3	ENSG00000135218
3	ENSG00000136696
3	ENSG00000139547
3	ENSG00000140090
3	ENSG00000140600
3	ENSG00000140678
3	ENSG00000141431
3	ENSG00000141505
3	ENSG00000143882
3	ENSG00000145824
3	ENSG00000147872
3	ENSG00000147912
3	ENSG00000148053
3	ENSG00000148357
3	ENSG00000148541
3	ENSG00000148795
3	ENSG00000149305
3	ENSG00000150672
