cluster	gene
1	ENSG00000167769
1	ENSG00000167914
1	ENSG00000167968
1	ENSG00000168350
1	ENSG00000169026
1	ENSG00000169291
1	ENSG00000169896
1	ENSG00000169900
1	ENSG00000170099
1	ENSG00000170271
1	ENSG00000170423
1	ENSG00000170786
1	ENSG00000171060
1	ENSG00000171403
1	ENSG00000172201
1	ENSG00000172243
1	ENSG00000172350
1	ENSG00000172478
1	ENSG00000172731
1	ENSG00000172824
1	ENSG00000172867
1	ENSG00000173124
1	ENSG00000173221
1	ENSG00000173239
1	ENSG00000173262
1	ENSG00000173578
1	ENSG00000173926
1	ENSG00000174343
1	ENSG00000174808
1	ENSG00000175267
1	ENSG00000177363
1	ENSG00000178363
1	ENSG00000178597
1	ENSG00000179023
1	ENSG00000179388
1	ENSG00000179477
1	ENSG00000179846
1	ENSG00000179869
1	ENSG00000180613
1	ENSG00000182103
1	ENSG00000182261
1	ENSG00000182389
1	ENSG00000182489
1	ENSG00000183638
1	ENSG00000183671
1	ENSG00000184459
1	ENSG00000184792
1	ENSG00000184828
1	ENSG00000185432
1	ENSG00000185633
1	ENSG00000185640
1	ENSG00000186526
1	ENSG00000186806
1	ENSG00000186912
1	ENSG00000187764
1	ENSG00000188001
1	ENSG00000188393
1	ENSG00000188886
1	ENSG00000188897
1	ENSG00000189058
1	ENSG00000196407
1	ENSG00000196734
1	ENSG00000197084
1	ENSG00000197353
1	ENSG00000197580
1	ENSG00000197953
1	ENSG00000198133
1	ENSG00000198478
1	ENSG00000198691
1	ENSG00000198848
1	ENSG00000198854
1	ENSG00000203782
1	ENSG00000204421
1	ENSG00000204518
1	ENSG00000204538
1	ENSG00000205702
1	ENSG00000206072
1	ENSG00000206073
1	ENSG00000213578
1	ENSG00000214456
1	ENSG00000214491
1	ENSG00000241233
1	ENSG00000242110
1	ENSG00000244617
1	ENSG00000259803
1	ENSG00000260458
1	ENSG00000261609
1	ENSG00000266094
1	ENSG00000267385
1	ENSG00000269741
2	ENSG00000001626
2	ENSG00000006377
2	ENSG00000010932
2	ENSG00000011465
2	ENSG00000050344
2	ENSG00000055955
2	ENSG00000062282
2	ENSG00000064270
2	ENSG00000064787
2	ENSG00000064886
2	ENSG00000068831
2	ENSG00000069667
2	ENSG00000073598
2	ENSG00000078804
2	ENSG00000084628
2	ENSG00000088826
2	ENSG00000093134
2	ENSG00000094963
2	ENSG00000099954
2	ENSG00000101210
2	ENSG00000101265
2	ENSG00000101280
2	ENSG00000101306
2	ENSG00000101417
2	ENSG00000101470
2	ENSG00000103089
2	ENSG00000105088
2	ENSG00000105516
2	ENSG00000105613
2	ENSG00000106123
2	ENSG00000108379
2	ENSG00000108602
2	ENSG00000108924
2	ENSG00000108950
2	ENSG00000109047
2	ENSG00000109472
2	ENSG00000109906
2	ENSG00000110799
2	ENSG00000111432
2	ENSG00000112041
2	ENSG00000112294
2	ENSG00000113389
2	ENSG00000113600
2	ENSG00000114656
2	ENSG00000115488
2	ENSG00000115956
2	ENSG00000116761
2	ENSG00000117834
2	ENSG00000118308
2	ENSG00000118322
2	ENSG00000124635
2	ENSG00000125285
2	ENSG00000125895
2	ENSG00000126233
2	ENSG00000126262
2	ENSG00000130222
2	ENSG00000130427
2	ENSG00000130653
2	ENSG00000131831
2	ENSG00000133488
2	ENSG00000134240
2	ENSG00000134765
2	ENSG00000134830
2	ENSG00000134853
2	ENSG00000135100
2	ENSG00000135218
2	ENSG00000136696
2	ENSG00000139547
2	ENSG00000140090
2	ENSG00000140600
2	ENSG00000140678
2	ENSG00000141431
2	ENSG00000141505
2	ENSG00000143882
2	ENSG00000145824
2	ENSG00000147872
2	ENSG00000147912
2	ENSG00000148053
2	ENSG00000148357
2	ENSG00000148541
2	ENSG00000148795
2	ENSG00000149305
2	ENSG00000150672
2	ENSG00000151892
2	ENSG00000152580
2	ENSG00000152661
2	ENSG00000156284
2	ENSG00000158050
2	ENSG00000159208
2	ENSG00000159337
2	ENSG00000159958
2	ENSG00000160868
2	ENSG00000161031
2	ENSG00000161944
2	ENSG00000162543
2	ENSG00000162645
2	ENSG00000162747
2	ENSG00000162777
2	ENSG00000163599
2	ENSG00000164047
2	ENSG00000164082
2	ENSG00000164112
2	ENSG00000164929
2	ENSG00000165125
2	ENSG00000165181
2	ENSG00000165816
2	ENSG00000166736
2	ENSG00000167046
2	ENSG00000167701
2	ENSG00000167941
2	ENSG00000167971
2	ENSG00000168062
2	ENSG00000168243
2	ENSG00000168754
2	ENSG00000169550
2	ENSG00000169676
2	ENSG00000170482
2	ENSG00000170667
2	ENSG00000171227
2	ENSG00000171766
2	ENSG00000172164
2	ENSG00000172382
2	ENSG00000172575
2	ENSG00000172782
2	ENSG00000173093
2	ENSG00000173714
2	ENSG00000174332
2	ENSG00000174950
2	ENSG00000176020
2	ENSG00000176387
2	ENSG00000176697
2	ENSG00000177238
2	ENSG00000178226
2	ENSG00000178372
2	ENSG00000178467
2	ENSG00000178776
2	ENSG00000179751
2	ENSG00000180044
2	ENSG00000180316
2	ENSG00000182463
2	ENSG00000182687
2	ENSG00000182957
2	ENSG00000183049
2	ENSG00000183378
2	ENSG00000183479
2	ENSG00000183729
2	ENSG00000183798
2	ENSG00000184613
2	ENSG00000184709
2	ENSG00000186204
2	ENSG00000186207
2	ENSG00000186326
2	ENSG00000186395
2	ENSG00000186417
2	ENSG00000186442
2	ENSG00000186648
2	ENSG00000187672
2	ENSG00000188338
2	ENSG00000189325
2	ENSG00000196224
2	ENSG00000196782
2	ENSG00000197249
2	ENSG00000197915
2	ENSG00000198569
2	ENSG00000198643
2	ENSG00000198797
2	ENSG00000198844
2	ENSG00000198948
2	ENSG00000203618
2	ENSG00000204020
2	ENSG00000204195
2	ENSG00000204335
2	ENSG00000204542
2	ENSG00000204882
2	ENSG00000205502
2	ENSG00000205639
2	ENSG00000215853
2	ENSG00000225556
2	ENSG00000236939
2	ENSG00000241598
2	ENSG00000244122
2	ENSG00000244242
2	ENSG00000244752
2	ENSG00000248485
2	ENSG00000258740
2	ENSG00000261371
2	ENSG00000263639
2	ENSG00000269433
2	ENSG00000277758
3	ENSG00000002587
3	ENSG00000006327
3	ENSG00000007038
3	ENSG00000008517
3	ENSG00000019582
3	ENSG00000041982
3	ENSG00000047936
3	ENSG00000048052
3	ENSG00000049130
3	ENSG00000050730
3	ENSG00000057294
3	ENSG00000061918
3	ENSG00000065328
3	ENSG00000075213
3	ENSG00000078401
3	ENSG00000079337
3	ENSG00000085276
3	ENSG00000087494
3	ENSG00000097096
3	ENSG00000099250
3	ENSG00000101311
3	ENSG00000101443
3	ENSG00000102854
3	ENSG00000104998
3	ENSG00000105255
3	ENSG00000105974
3	ENSG00000106089
3	ENSG00000107105
3	ENSG00000108342
3	ENSG00000111012
3	ENSG00000111186
3	ENSG00000112208
3	ENSG00000112218
3	ENSG00000112782
3	ENSG00000113396
3	ENSG00000113594
3	ENSG00000115163
3	ENSG00000115232
3	ENSG00000115758
3	ENSG00000117598
3	ENSG00000119699
3	ENSG00000121335
3	ENSG00000122641
3	ENSG00000123342
3	ENSG00000123496
3	ENSG00000125148
3	ENSG00000127564
3	ENSG00000128274
3	ENSG00000128342
3	ENSG00000131620
3	ENSG00000131650
3	ENSG00000131771
3	ENSG00000132031
3	ENSG00000133328
3	ENSG00000134339
3	ENSG00000135046
3	ENSG00000135480
3	ENSG00000135549
3	ENSG00000136542
3	ENSG00000137801
3	ENSG00000138675
3	ENSG00000140534
3	ENSG00000144488
3	ENSG00000144959
3	ENSG00000146592
3	ENSG00000147536
3	ENSG00000148671
3	ENSG00000149090
3	ENSG00000149798
3	ENSG00000151364
3	ENSG00000151835
3	ENSG00000153162
3	ENSG00000153993
3	ENSG00000154447
3	ENSG00000157168
3	ENSG00000159374
3	ENSG00000161281
3	ENSG00000161653
3	ENSG00000163219
3	ENSG00000163395
3	ENSG00000163507
3	ENSG00000164116
3	ENSG00000165443
3	ENSG00000166173
3	ENSG00000166510
3	ENSG00000167034
3	ENSG00000167617
3	ENSG00000167641
3	ENSG00000167779
3	ENSG00000167916
3	ENSG00000168685
3	ENSG00000169715
3	ENSG00000170989
3	ENSG00000171224
3	ENSG00000171345
3	ENSG00000171631
3	ENSG00000173432
3	ENSG00000174607
3	ENSG00000175505
3	ENSG00000176208
3	ENSG00000178773
3	ENSG00000178826
3	ENSG00000178882
3	ENSG00000179431
3	ENSG00000179826
3	ENSG00000181634
3	ENSG00000182898
3	ENSG00000183691
3	ENSG00000183914
3	ENSG00000184254
3	ENSG00000184261
3	ENSG00000184347
3	ENSG00000186777
3	ENSG00000186871
3	ENSG00000187800
3	ENSG00000188293
3	ENSG00000196154
3	ENSG00000196584
3	ENSG00000197301
3	ENSG00000197472
3	ENSG00000197594
3	ENSG00000197872
3	ENSG00000197921
3	ENSG00000197956
3	ENSG00000198780
3	ENSG00000198835
3	ENSG00000204385
3	ENSG00000213160
3	ENSG00000218416
3	ENSG00000229676
3	ENSG00000241978
3	ENSG00000243566
3	ENSG00000257446
3	ENSG00000267795
3	ENSG00000270800
4	ENSG00000003137
4	ENSG00000006606
4	ENSG00000049768
4	ENSG00000050628
4	ENSG00000064201
4	ENSG00000070388
4	ENSG00000070886
4	ENSG00000072201
4	ENSG00000095587
4	ENSG00000100285
4	ENSG00000100341
4	ENSG00000100628
4	ENSG00000101144
4	ENSG00000101825
4	ENSG00000102003
4	ENSG00000102901
4	ENSG00000103021
4	ENSG00000103154
4	ENSG00000108405
4	ENSG00000112494
4	ENSG00000115461
4	ENSG00000123977
4	ENSG00000125726
4	ENSG00000126803
4	ENSG00000126861
4	ENSG00000127743
4	ENSG00000128284
4	ENSG00000129437
4	ENSG00000129450
4	ENSG00000129521
4	ENSG00000131730
4	ENSG00000133067
4	ENSG00000135472
4	ENSG00000135697
4	ENSG00000140416
4	ENSG00000142623
4	ENSG00000145879
4	ENSG00000146674
4	ENSG00000147234
4	ENSG00000148826
4	ENSG00000150337
4	ENSG00000150471
4	ENSG00000152154
4	ENSG00000152932
4	ENSG00000153303
4	ENSG00000158486
4	ENSG00000158525
4	ENSG00000159450
4	ENSG00000159455
4	ENSG00000160224
4	ENSG00000161798
4	ENSG00000162426
4	ENSG00000166317
4	ENSG00000166473
4	ENSG00000167748
4	ENSG00000168703
4	ENSG00000168811
4	ENSG00000168952
4	ENSG00000172742
4	ENSG00000174945
4	ENSG00000175315
4	ENSG00000176200
4	ENSG00000177182
4	ENSG00000179934
4	ENSG00000180999
4	ENSG00000181790
4	ENSG00000182575
4	ENSG00000182749
4	ENSG00000182938
4	ENSG00000184166
4	ENSG00000185038
4	ENSG00000185306
4	ENSG00000186049
4	ENSG00000186115
4	ENSG00000186226
4	ENSG00000187170
4	ENSG00000187210
4	ENSG00000187223
4	ENSG00000188039
4	ENSG00000203747
4	ENSG00000203786
4	ENSG00000203867
4	ENSG00000211448
4	ENSG00000214216
4	ENSG00000214226
4	ENSG00000216490
4	ENSG00000235942
4	ENSG00000243955
4	ENSG00000249693
4	ENSG00000268221
4	ENSG00000278057
5	ENSG00000021355
5	ENSG00000028277
5	ENSG00000046604
5	ENSG00000053747
5	ENSG00000058085
5	ENSG00000073737
5	ENSG00000100625
5	ENSG00000100985
5	ENSG00000100994
5	ENSG00000102243
5	ENSG00000102359
5	ENSG00000103187
5	ENSG00000105825
5	ENSG00000111057
5	ENSG00000111799
5	ENSG00000114638
5	ENSG00000114923
5	ENSG00000115008
5	ENSG00000116701
5	ENSG00000117407
5	ENSG00000117472
5	ENSG00000122694
5	ENSG00000124102
5	ENSG00000125730
5	ENSG00000127507
5	ENSG00000128340
5	ENSG00000128422
5	ENSG00000130054
5	ENSG00000133657
5	ENSG00000137124
5	ENSG00000138772
5	ENSG00000143816
5	ENSG00000149948
5	ENSG00000150630
5	ENSG00000151651
5	ENSG00000152784
5	ENSG00000154217
5	ENSG00000158089
5	ENSG00000158125
5	ENSG00000163216
5	ENSG00000163297
5	ENSG00000164465
5	ENSG00000167608
5	ENSG00000169247
5	ENSG00000170054
5	ENSG00000170477
5	ENSG00000171587
5	ENSG00000171903
5	ENSG00000172137
5	ENSG00000173210
5	ENSG00000178172
5	ENSG00000180287
5	ENSG00000181333
5	ENSG00000181885
5	ENSG00000182585
5	ENSG00000184497
5	ENSG00000185499
5	ENSG00000187244
5	ENSG00000204381
5	ENSG00000241794
5	ENSG00000243509
6	ENSG00000010671
6	ENSG00000066032
6	ENSG00000081248
6	ENSG00000100652
6	ENSG00000108622
6	ENSG00000109610
6	ENSG00000111058
6	ENSG00000114248
6	ENSG00000115590
6	ENSG00000117560
6	ENSG00000124920
6	ENSG00000127325
6	ENSG00000128242
6	ENSG00000128268
6	ENSG00000130720
6	ENSG00000133661
6	ENSG00000138722
6	ENSG00000146857
6	ENSG00000148516
6	ENSG00000157765
6	ENSG00000159899
6	ENSG00000160870
6	ENSG00000164626
6	ENSG00000165124
6	ENSG00000167210
6	ENSG00000169213
6	ENSG00000170049
6	ENSG00000170396
6	ENSG00000170486
6	ENSG00000170965
6	ENSG00000172155
6	ENSG00000172551
6	ENSG00000174156
6	ENSG00000175294
6	ENSG00000175920
6	ENSG00000177791
6	ENSG00000179776
6	ENSG00000182557
6	ENSG00000186094
6	ENSG00000187180
6	ENSG00000188100
6	ENSG00000188730
6	ENSG00000205089
6	ENSG00000205867
6	ENSG00000214946
6	ENSG00000221878
6	ENSG00000228727
6	ENSG00000234224
6	ENSG00000240386
6	ENSG00000256671
7	ENSG00000043355
7	ENSG00000059915
7	ENSG00000073067
7	ENSG00000082074
7	ENSG00000085741
7	ENSG00000095370
7	ENSG00000100385
7	ENSG00000101180
7	ENSG00000103184
7	ENSG00000127129
7	ENSG00000130270
7	ENSG00000138135
7	ENSG00000140506
7	ENSG00000141376
7	ENSG00000143786
7	ENSG00000145703
7	ENSG00000147434
7	ENSG00000158113
7	ENSG00000165084
7	ENSG00000171840
7	ENSG00000172955
7	ENSG00000174807
7	ENSG00000176402
7	ENSG00000176971
7	ENSG00000183023
7	ENSG00000183166
7	ENSG00000187808
7	ENSG00000198929
7	ENSG00000204033
7	ENSG00000204060
7	ENSG00000219607
7	ENSG00000237452
7	ENSG00000241644
7	ENSG00000242515
7	ENSG00000248801
7	ENSG00000255690
7	ENSG00000262304
7	ENSG00000269242
7	ENSG00000273259
8	ENSG00000049089
8	ENSG00000064300
8	ENSG00000086548
8	ENSG00000099960
8	ENSG00000101342
8	ENSG00000107984
8	ENSG00000113578
8	ENSG00000113749
8	ENSG00000113763
8	ENSG00000116996
8	ENSG00000123689
8	ENSG00000134363
8	ENSG00000135318
8	ENSG00000135362
8	ENSG00000137731
8	ENSG00000137880
8	ENSG00000140937
8	ENSG00000144583
8	ENSG00000144810
8	ENSG00000147100
8	ENSG00000153012
8	ENSG00000157654
8	ENSG00000162545
8	ENSG00000166289
8	ENSG00000172927
8	ENSG00000174600
8	ENSG00000174640
8	ENSG00000175065
8	ENSG00000176177
8	ENSG00000180861
8	ENSG00000197182
8	ENSG00000198542
8	ENSG00000204632
8	ENSG00000204941
8	ENSG00000205426
8	ENSG00000213397
9	ENSG00000053438
9	ENSG00000077616
9	ENSG00000095970
9	ENSG00000100867
9	ENSG00000107242
9	ENSG00000109674
9	ENSG00000110375
9	ENSG00000110492
9	ENSG00000112796
9	ENSG00000116852
9	ENSG00000117318
9	ENSG00000120820
9	ENSG00000125508
9	ENSG00000133962
9	ENSG00000138685
9	ENSG00000142185
9	ENSG00000146530
9	ENSG00000164400
9	ENSG00000167614
9	ENSG00000171115
9	ENSG00000171817
9	ENSG00000175820
9	ENSG00000179240
9	ENSG00000184507
9	ENSG00000184515
9	ENSG00000196684
9	ENSG00000197134
9	ENSG00000197646
9	ENSG00000213648
9	ENSG00000233493
9	ENSG00000240563
9	ENSG00000254656
9	ENSG00000256188
9	ENSG00000278224
10	ENSG00000075340
10	ENSG00000080644
10	ENSG00000103742
10	ENSG00000105877
10	ENSG00000106034
10	ENSG00000122133
10	ENSG00000125378
10	ENSG00000125851
10	ENSG00000126856
10	ENSG00000128564
10	ENSG00000128591
10	ENSG00000130822
10	ENSG00000133110
10	ENSG00000134013
10	ENSG00000141506
10	ENSG00000141750
10	ENSG00000143847
10	ENSG00000144837
10	ENSG00000145861
10	ENSG00000162373
10	ENSG00000162878
10	ENSG00000167244
10	ENSG00000170893
10	ENSG00000171388
10	ENSG00000174697
10	ENSG00000184148
10	ENSG00000204610
10	ENSG00000205922
11	ENSG00000007350
11	ENSG00000015520
11	ENSG00000102076
11	ENSG00000102755
11	ENSG00000103375
11	ENSG00000105122
11	ENSG00000112320
11	ENSG00000121797
11	ENSG00000122176
11	ENSG00000123243
11	ENSG00000154080
11	ENSG00000159167
11	ENSG00000165917
11	ENSG00000166558
11	ENSG00000167157
11	ENSG00000170927
11	ENSG00000171885
11	ENSG00000172572
11	ENSG00000182256
11	ENSG00000183034
11	ENSG00000187821
11	ENSG00000215217
11	ENSG00000215595
11	ENSG00000216588
11	ENSG00000234965
11	ENSG00000239590
11	ENSG00000254402
11	ENSG00000267909
12	ENSG00000019186
12	ENSG00000100889
12	ENSG00000107731
12	ENSG00000109819
12	ENSG00000112303
12	ENSG00000128165
12	ENSG00000128965
12	ENSG00000133134
12	ENSG00000136828
12	ENSG00000140284
12	ENSG00000150051
12	ENSG00000152463
12	ENSG00000154645
12	ENSG00000158406
12	ENSG00000176046
12	ENSG00000176771
12	ENSG00000177669
12	ENSG00000181804
12	ENSG00000183091
12	ENSG00000197405
12	ENSG00000205863
12	ENSG00000221883
12	ENSG00000265972
13	ENSG00000064205
13	ENSG00000107187
13	ENSG00000116183
13	ENSG00000121764
13	ENSG00000124134
13	ENSG00000126368
13	ENSG00000129514
13	ENSG00000129951
13	ENSG00000134007
13	ENSG00000157782
13	ENSG00000165323
13	ENSG00000186919
13	ENSG00000188779
13	ENSG00000188869
13	ENSG00000188996
13	ENSG00000198520
13	ENSG00000231852
13	ENSG00000248871
13	ENSG00000254873
13	ENSG00000257242
13	ENSG00000277726
14	ENSG00000102053
14	ENSG00000105388
14	ENSG00000125531
14	ENSG00000125798
14	ENSG00000132297
14	ENSG00000133101
14	ENSG00000154133
14	ENSG00000156282
14	ENSG00000163209
14	ENSG00000175592
14	ENSG00000176659
14	ENSG00000177257
14	ENSG00000179242
14	ENSG00000244057
15	ENSG00000023445
15	ENSG00000109321
15	ENSG00000125538
15	ENSG00000127329
15	ENSG00000138061
15	ENSG00000148346
15	ENSG00000153930
15	ENSG00000171236
15	ENSG00000171711
15	ENSG00000196805
15	ENSG00000198807
15	ENSG00000205592
15	ENSG00000244094
16	ENSG00000110944
16	ENSG00000133321
16	ENSG00000141968
16	ENSG00000159556
16	ENSG00000163606
16	ENSG00000163633
16	ENSG00000170421
16	ENSG00000181143
16	ENSG00000196754
17	ENSG00000070669
17	ENSG00000111981
17	ENSG00000113739
17	ENSG00000115009
17	ENSG00000124391
17	ENSG00000136694
17	ENSG00000140465
17	ENSG00000163435
17	ENSG00000183153
18	ENSG00000187987
18	ENSG00000249624
19	ENSG00000160683
